branch_code,code,title,author_codes,genre_codes,category_codes,language_codes,publisher_code,photo,slug,published,type,summary,isbn,published_date,publisher_id,file_url,file_size,translator,volume_number,cover_price,page_count
lit,war-and-peace-1869,Chiến Tranh và Hòa Bình,tolstoy,"novel",novel,"ru,vi",Oxford,war-and-peace-1869.png,chien-tranh-va-hoa-binh,true,BOTH,"Một tiểu thuyết của Leo Tolstoy",9780199232765,1869-01-01,48,,0,,1,39.99,1225
lit,the-great-gatsby-1925,The Great Gatsby,fitzgerald,"novel",novel,"en,vi",Scribner,the-great-gatsby-1925.png,the-great-gatsby,true,BOTH,"Một tiểu thuyết của F. Scott Fitzgerald",9780743273565,1925-04-10,49,,0,,1,14.99,180
lit,the-catcher-in-the-rye-1951,The Catcher in the Rye,salinger,"novel",novel,"en,vi",LittleBrown,the-catcher-in-the-rye-1951.png,the-catcher-in-the-rye,true,BOTH,"Một tiểu thuyết của J.D. Salinger",9780316769488,1951-07-16,50,,0,,1,19.99,277
lit,to-kill-a-mockingbird-1960,To Kill a Mockingbird,lee-h,"novel",novel,"en,vi",HarperCollins,to-kill-a-mockingbird-1960.png,to-kill-a-mockingbird,true,BOTH,"Một tiểu thuyết của Harper Lee",9780061120084,1960-07-11,51,,0,,1,18.99,324
lit,one-hundred-years-1985,One Hundred Years of Solitude,marquez,"novel",novel,"es,vi",HarperCollins,one-hundred-years-1985.png,one-hundred-years-of-solitude,true,BOTH,"Một tiểu thuyết của Gabriel Garcia Marquez",9780060883287,1985-05-30,52,,0,,1,24.99,417
iit,math-2021,Toán Học,smith-math,"math",math,"en,vi",Pearson,toan-hoc.png,toan-hoc,true,PRINT,"Một hướng dẫn toàn diện về toán học",9780321902078,2017-01-01,14,,0,,1,79.99,1200
iit,math2000,Giải Tích 1,nguyen-f,"math",math,"vi",NXBKHXH,giai-tich-1.png,giai-tich-1,true,PRINT,"Một cuốn sách về giải tích của Việt Nam",9786040000000,2000-01-01,30,,0,,1,29.99,500
iit,math2005,Đại Số Tuyến Tính,tran-g,"math",math,"vi",NXBKHXH,dai-so-tuyen-tinh.png,dai-so-tuyen-tinh,true,PRINT,"Một cuốn sách về đại số tuyến tính của Việt Nam",9786040000001,2005-01-01,31,,0,,1,34.99,600
iit,math2010,Toán Cao Cấp,le-h,"math",math,"vi",NXBKHXH,toan-cao-cap.png,toan-cao-cap,true,PRINT,"Một cuốn sách về toán cao cấp của Việt Nam",9786040000002,2010-01-01,32,,0,,1,39.99,700
iit,calculus-1997,Giải Tích,stewart,"math",math,"en,vi",Cengage,calculus.png,calculus,true,BOTH,"Một cuốn sách nổi tiếng về giải tích của James Stewart",9780538497817,1997-01-01,35,,0,,1,49.99,1368
iit,linear-algebra-2002,Đại Số Tuyến Tính và Ứng Dụng,lay,"math",math,"en,vi",Pearson,linear-algebra.png,linear-algebra,true,BOTH,"Một cuốn sách nổi tiếng về đại số tuyến tính của David C. Lay",9780321385178,2002-01-01,36,,0,,1,59.99,576
iit,sociology-2021,Xã Hội Học,giddens,"soc",sociology,"en,vi",Pearson,xa-hoi-hoc.png,xa-hoi-hoc,true,PRINT,"Một giới thiệu về xã hội học",9780321912077,2018-01-01,15,,0,,1,69.99,600
iit,psychology-2021,Nhập Môn Tâm Lý Học,myers,"psy",psychology,"en,vi",Worth,nhap-mon-tam-ly-hoc.png,nhap-mon-tam-ly-hoc,true,PRINT,"Một hướng dẫn toàn diện về tâm lý học",9780321922076,2019-01-01,16,,0,,1,69.99,700
iit,cultural-anthropology-2021,Nhân Học Văn Hóa,kottak,"anth",anthropology,"en,vi",McGrawHill,nhan-hoc-van-hoa.png,nhan-hoc-van-hoa,true,PRINT,"Một giới thiệu về nhân học văn hóa",9780321932075,2020-01-01,17,,0,,1,69.99,650
iit,economics-2021,Kinh Tế Học,smith-eco,"eco",economics,"en,vi",Pearson,kinh-te-hoc.png,kinh-te-hoc,true,PRINT,"Một hướng dẫn toàn diện về kinh tế học",9780321942074,2021-01-01,18,,0,,1,79.99,800
iit,microeconomics-2000,Kinh Tế Học Vi Mô,pham-i,"eco",economics,"vi",NXBKHXH,kinh-te-hoc-vi-mo.png,kinh-te-hoc-vi-mo,true,PRINT,"Một cuốn sách về kinh tế học vi mô của Việt Nam",9786040000003,2000-01-01,33,,0,,1,29.99,400
iit,macroeconomics-2005,Kinh Tế Học Vĩ Mô,vo-j,"eco",economics,"vi",NXBKHXH,kinh-te-hoc-vi-mo.png,kinh-te-hoc-vi-mo,true,PRINT,"Một cuốn sách về kinh tế học vĩ mô của Việt Nam",9786040000004,2005-01-01,34,,0,,1,34.99,500
iit,principles-of-economics-1995,Nguyên Lý Kinh Tế Học,mankiw,"eco",economics,"en,vi",Cengage,principles-of-economics.png,principles-of-economics,true,BOTH,"Một cuốn sách nổi tiếng về kinh tế học của N. Gregory Mankiw",9780030982385,1995-01-01,37,,0,,1,69.99,888
iit,economics-samuelson-2008,Kinh Tế Học,"samuelson,nordhaus","eco",economics,"en,vi",McGrawHill,economics.png,economics,true,BOTH,"Một cuốn sách nổi tiếng về kinh tế học của Paul Samuelson và William Nordhaus",9780073511290,2008-01-01,38,,0,,1,79.99,800
iit,political-science-2021,Khoa Học Chính Trị,roskin,"pol",political-science,"en,vi",Pearson,khoa-hoc-chinh-tri.png,khoa-hoc-chinh-tri,true,PRINT,"Một giới thiệu về khoa học chính trị",9780321952073,2022-01-01,19,,0,,1,79.99,750
iit,xia-ke-xing-1963,Hiệp Khách Hành,jin-yong,"novel",martial-arts,"zh,vi",MingHo,hiep-khach-hanh.png,hiep-khach-hanh,true,DIGITAL,"Một tiểu thuyết võ hiệp của Kim Dung",9789620405605,1963-01-01,46,,0,,1,29.99,1100
iit,lu-ding-ji-1965,Lộc Đỉnh Ký,jin-yong,"novel",martial-arts,"zh,vi",MingHo,loc-dinh-ky.png,loc-dinh-ky,true,DIGITAL,"Một tiểu thuyết võ hiệp của Kim Dung",9789620405612,1965-01-01,47,,0,,1,29.99,1400
